12/30/2012,0,
1/6/2013,8,
1/13/2013,0,
1/20/2013,4,
1/27/2013,0,
2/3/2013,0,
2/10/2013,3,1
2/17/2013,2,
2/24/2013,2,
3/3/2013,0,
3/10/2013,2,
3/17/2013,3,
3/24/2013,7,
3/31/2013,0,1
4/7/2013,0,
4/14/2013,2,
4/21/2013,4,
4/28/2013,2,1
5/5/2013,1,
5/12/2013,0,
5/19/2013,12,
5/26/2013,2,1
6/2/2013,3,
6/9/2013,2,1
6/16/2013,3,
6/23/2013,4,
6/30/2013,4,
7/7/2013,0,1
7/14/2013,1,
7/21/2013,2,
7/28/2013,0,
8/4/2013,0,
8/11/2013,4,1
8/18/2013,0,
8/25/2013,0,
9/1/2013,3,
9/8/2013,2,
9/15/2013,0,
9/22/2013,1,
9/29/2013,8,
10/6/2013,8,
10/13/2013,0,
10/20/2013,1,
10/27/2013,14,
11/3/2013,2,
11/10/2013,2,
11/17/2013,6,
11/24/2013,2,1
12/1/2013,0,
12/8/2013,4,
12/15/2013,1,
12/22/2013,0,
12/29/2013,0,
1/5/2014,0,
1/12/2014,5,
1/19/2014,2,
1/26/2014,2,
2/2/2014,0,
2/9/2014,13,
2/16/2014,15,
2/23/2014,6,
3/2/2014,4,
3/9/2014,1,
3/16/2014,9,
3/23/2014,4,
3/30/2014,4,
4/6/2014,3,
4/13/2014,2,
4/20/2014,11,
4/27/2014,5,
5/4/2014,4,
5/11/2014,9,
5/18/2014,4,1
5/25/2014,0,
6/1/2014,8,
6/8/2014,2,
6/15/2014,4,
6/22/2014,0,
6/29/2014,8,
7/6/2014,0,
7/13/2014,8,1
7/20/2014,5,
7/27/2014,7,
8/3/2014,0,
8/10/2014,9,
8/17/2014,9,
8/24/2014,8,1
8/31/2014,0,
9/7/2014,4,1
9/14/2014,0,
9/21/2014,9,1
9/28/2014,0,
10/5/2014,7,1
10/12/2014,2,
10/19/2014,5,
10/26/2014,3,
11/2/2014,7,
11/9/2014,4,
11/16/2014,5,
11/23/2014,0,
11/30/2014,4,
12/7/2014,6,
12/14/2014,7,
12/21/2014,2,
